,Sentiments_Abb,file_loc
257,amazed,/project/Data/Video_train/Join Or Die with Craig Ferguson - Favorite Phenomenons - New Series Thursdays 11_10c _ History-1u28Z6RM-FY.mp4
258,active,/project/Data/Video_train/The Real Chocolate Fountain-7JUExZaSNKA.mp4
259,amused,/project/Data/Video_train/Shahrukh Khan Pepsi Ad-Hsufiso4mLo.mp4
260,proud,/project/Data/Video_train/Food City — Salute to our Military and Veterans-uoABty_zE00.mp4
261,alert,"/project/Data/Video_train/Choos The Mango, Choose #TheFrootiLife.-IuUyMMXix8M.mp4"
262,alarmed,/project/Data/Video_train/(High Quality) Famous 'Daisy' Attack Ad from 1964 Presidential Election-dDTBnsqxZ3k.mp4
263,eager,/project/Data/Video_train/Banned Kinder Egg (Kinder Surprise) Advert _ Commercial ...He's Back For Round 2! (Humpty Dumpty)-VOv1IQCoBnQ.mp4
264,amused,/project/Data/Video_train/Funny award winning Indian ad for SAB TV - suhaagraat-4pcO7_S2WQs.mp4
265,amused,/project/Data/Video_train/Japanese TV car commercial-jJ2yGIYMWwo.mp4
266,amused,/project/Data/Video_train/Banned from TV - Rolling Rock Foul Ball-ZMoO5eLmDBA.mp4
267,cheerful,/project/Data/Video_train/Converse 'Weapon' Shoe Commercial-90fRlMQTdSs.mp4
268,amazed,/project/Data/Video_train/GTA Online - Cunning Stunts Trailer-0A_35Z4eQfg.mp4
269,confident,/project/Data/Video_train/Professional Basketball Player Kevin Love Rebounds with Chocolate Milk-KTJ7BPvw-Co.mp4
270,amused,/project/Data/Video_train/Funny Thai coffee commercial 3_3-E4_ygnUilm4.mp4
271,amused,/project/Data/Video_train/Mr T Snickers commercial-NySN_plfiNI.mp4
272,active,/project/Data/Video_train/Nissan 300ZX Twin Turbo Commercial.-1XLyCDsKhGo.mp4
273,amazed,/project/Data/Video_train/NEYMAR  SABRITAS-tKXxJ29HEiQ.mp4
274,cheerful,/project/Data/Video_train/YouTube Smart Offline – Girl in the Metro-3iv2NnAxVmM.mp4
275,cheerful,/project/Data/Video_train/Atari - The Most Misleading Ad Ever-ws3PcFqBLdQ.mp4
276,educated,/project/Data/Video_train/quit smoking ad from HOLLAND-yY7VmNv6ud8.mp4
277,active,/project/Data/Video_train/Atari 2600 Commercial  From The 80s-913xrM9FYpI.mp4
278,eager,/project/Data/Video_train/Team badalne ka #ShubhAarambh. Cadbury Dairy Milk and Cricket are back.-n8E6kPJT0tU.mp4
279,persuaded,/project/Data/Video_train/Monster High Ghoulicious Cosmetic Case TV Commercial-BZ1Y2-KV1kg.mp4
280,creative,/project/Data/Video_train/Ratchet & Clank - Story Trailer _ PS4-q5Mjz1RTfkU.mp4
281,educated,/project/Data/Video_train/Allstate TV Ad - Back to Basics.-6HNKqffU3Cc.mp4
282,educated,/project/Data/Video_train/'Sixty bucks for a game' - Ouya ad-g0ha6Mb5_YQ.mp4
283,conscious,/project/Data/Video_train/Groupon Super Bowl Ad _ Save the Money - Tibet-vVkFT2yjk0A.mp4
284,creative,/project/Data/Video_train/Hell Energy Drink TV Commercial Bulgaria 2016-BRMQ08cG4Xg.mp4
285,active,/project/Data/Video_train/FIFA 14 TV Commercial - Next-Gen Lionel Messi-DYYy8_GCdn4.mp4
286,amused,/project/Data/Video_train/Coca Cola Super Bowl Television Commercial 'JINX'-iZIHSn1ILxs.mp4
287,eager,/project/Data/Video_train/Cadbury Shubh Aarambh - Two sisters-6AOvnPY_d-U.mp4
288,active,/project/Data/Video_train/New Sun Drop Soda Commercial 2011 VERY FUNNY DANCING-8QRs0ejxjEc.mp4
289,alert,/project/Data/Video_train/Diamond Crystal® Salt - What is Hard Water-Y9yX02HwMVo.mp4
290,active,/project/Data/Video_train/Now Cam by ZAGG-hlDFpwZPWJY.mp4
291,alert,/project/Data/Video_train/Sony Bravia Ball Bounce Commercial-7DrFY3H-u8w.mp4
292,active,/project/Data/Video_train/TruFuel Spring  -15 Spot-ohRN3yG4TEI.mp4
293,active,/project/Data/Video_train/Nike Gridiron - Michael Vick Experience-5Oag8iBB7HE.mp4
294,amused,/project/Data/Video_train/Invictus Games 2016 fighting talk-KuNcSp2T4Lw.mp4
295,amazed,/project/Data/Video_train/Mario Galaxy Spec Commercial-6-2L4PTV14A.mp4
296,active,/project/Data/Video_train/Landon Donovan - Always In The Game-4KKgR5YWmYg.mp4
297,confident,/project/Data/Video_train/Levi's commercial - Laundrette-wT4DR_ae_4o.mp4
298,cheerful,/project/Data/Video_train/How to Set a Rustic Holiday Table-YcD3HHmKT4I.mp4
299,amused,/project/Data/Video_train/Kmart 'Ship My Pants' Commercial. 'I Just Shipped My Pants!'-2xwUuSM06xQ.mp4
300,amused,/project/Data/Video_train/The Fruit Will Set You Free-o6afGyzyrVE.mp4
301,educated,/project/Data/Video_train/Funny commercial from freecreditreport.com-YWnUmpQhiOw.mp4
302,eager,/project/Data/Video_train/7UP Nimbooz Masala Soda Anushka Sharma TVC 2015-VjGU3I9degQ.mp4
303,eager,/project/Data/Video_train/Cómo hacer arroz con pollo _ Knorr® Sabor-d8E2pHgxnsU.mp4
304,amused,/project/Data/Video_train/TIC TAC Zach King Compilation-dcTjsBMIRU0.mp4
305,inspired,/project/Data/Video_train/Works For Us All _ Bernie Sanders-PewCSYS6a6s.mp4
306,amused,/project/Data/Video_train/Clash of Clans - Ride of the Hog Riders (Official TV Commercial)-XH3Xu1-cvII.mp4
307,cheerful,/project/Data/Video_train/Pepsi commercial (1950)-first James Dean tv appearance-MQfikxbS4zE.mp4
308,alert,"/project/Data/Video_train/The Smart Oven® range _ Simple to use, easy to create _ Breville USA-2v7lsnPvgtI.mp4"
309,creative,/project/Data/Video_train/Little Tikes Digital Video Camera-NhsEmtSd8Mc.mp4
310,eager,/project/Data/Video_train/Simple Inspiration with Savannah Bee  -30-rfTDkbIfMvA.mp4
311,amused,/project/Data/Video_train/Hawaiian Punch Commercial 1960's-70's-86IpU3g-S8Q.mp4
312,creative,/project/Data/Video_train/JUXT PRO - #SmarterByFar-xtz2mdX0aEE.mp4
313,amazed,/project/Data/Video_train/Buying New & Pre-owned Clothing Online-Yqz3eT_fzVY.mp4
314,amused,/project/Data/Video_train/The Amazing Spider-Man 2 - evian Commercial-JqNjeNeJzuA.mp4
315,feminine,/project/Data/Video_train/dove evolution-iYhCn0jf46U.mp4
316,alarmed,/project/Data/Video_train/The Bigger the Mess-v_AMEYsBxZA.mp4
317,eager,/project/Data/Video_train/Reese's Peanut Butter Cups-JWMM7HPeTHQ.mp4
318,eager,/project/Data/Video_train/Cómo hacer pavo navideño _ Knorr® Sabor-HyRMsv3aEkM.mp4
319,amused,/project/Data/Video_train/David Lynch's PS2 Commercial - Bambi-T4tOvkvCvwQ.mp4
320,conscious,/project/Data/Video_train/Condom Advertisement Best Ad Ever Made-ZcgzoGU141o.mp4
321,educated,/project/Data/Video_train/Dove Onslaught(er)-odI7pQFyjso.mp4
322,amused,/project/Data/Video_train/Funny Gay Ads - How to tell your parents about you-ZYpqxlkaenk.mp4
323,active,/project/Data/Video_train/Too Excited To Sleep-b95oyhSd5ls.mp4
324,cheerful,/project/Data/Video_train/Brooke Shields in the Calvin Klein Jeans commercial 1981-YK2VZgJ4AoM.mp4
325,amused,/project/Data/Video_train/NESCAFÉ Ad 'Creating Friendships'-sm9uHf9sm6c.mp4
326,amused,/project/Data/Video_train/Langnese Ice Cream - Cult Commercial 80's-a05SWVIPdb8.mp4
327,alert,/project/Data/Video_train/#CATmageddon _ truth-tLtschJxRy8.mp4
328,amused,/project/Data/Video_train/japanese's ad-AR-Iz1fts5M.mp4
329,confident,/project/Data/Video_train/Jiji.ng - Nigeria's No.1 Free Classified Ads-sAhHHpzXOI8.mp4
330,amazed,/project/Data/Video_train/Create A TeamSnap Account For Easy Team Management-w5NH6qXvB9c.mp4
331,alert,/project/Data/Video_train/United Colors of Benetton in support of UN Women - End Violence Against Women Now - Full version-_lDncgUwor4.mp4
332,conscious,/project/Data/Video_train/NZ Anti-Drink Driving Commercial - Legend-CtWirGxV7Q8.mp4
333,amused,/project/Data/Video_train/award winning funny commercial-zv750BWrUhY.mp4
334,active,"/project/Data/Video_train/Add it to Your Highlight Reel _ Sun Valley, Idaho - Winter 2015_2016 ‬-3KHSWaEamQc.mp4"
335,amused,/project/Data/Video_train/Subaru Dog Tested _ Subaru Commercial _ Phone Navigation-Ejf8lk9nYH4.mp4
336,active,/project/Data/Video_train/WHAM-O WHEELIE BAR Tv Commercial 1966-tWDprSdH2xQ.mp4
337,amazed,/project/Data/Video_train/Specsology - 'Orange Zone' Recipe-isvfvNmoPYU.mp4
338,amazed,/project/Data/Video_train/Quick View - The Juice Fountain Cold-0OOz0ixr9MQ.mp4
339,active,/project/Data/Video_train/PlayStation VR showcase at #PlayStationPGW-cw6x80Qdzak.mp4
340,amused,/project/Data/Video_train/Wes Anderson - SoftBank Commercial with Brad Pitt-g0u0oEUcasU.mp4
341,cheerful,/project/Data/Video_train/Friskies Adventureland Commercial-OWZ6xtVLmzA.mp4
342,educated,/project/Data/Video_train/Amazon Prime Air-98BIu9dpwHU.mp4
343,inspired,/project/Data/Video_train/America _ Bernie Sanders (New York)-uCd6-MZqPZg.mp4
344,eager,"/project/Data/Video_train/N°5, the Film with Brad Pitt - There You Are – CHANEL Fragrance-mGs4CjeJiJQ.mp4"
345,loving,/project/Data/Video_train/Unexpected Jobs in Retail - Meet the “Fish Guy” at Dave’s Soda & Pet City-4k0AGQyMbFE.mp4
346,amused,/project/Data/Video_train/DollarShaveClub.com - Our Blades Are F_ing Great-ZUG9qYTJMsI.mp4
347,cheerful,/project/Data/Video_train/Nestle Cerelac Thematic - Sharp Image-Pj_mSZYeLrU.mp4
348,active,"/project/Data/Video_train/Karl-Anthony Towns - Road to the NBA Draft _ Vice Sports Shorts, Presented by Gatorade-5R8euGTHBR8.mp4"
349,emotional,/project/Data/Video_train/REBISCO Tres Hermanos-vUAPQ-zAUTE.mp4
350,alarmed,/project/Data/Video_train/New TV Ad - 'Nose'-BDumsN1NCGg.mp4
351,amused,/project/Data/Video_train/Funny Japanese advertisement 1-POGBdDSVybk.mp4
352,amazed,/project/Data/Video_train/mramazingloans.com TV Advertisement April 2012-yeL--HO5-EM.mp4
353,amused,/project/Data/Video_train/Volkswagen - Un-pimp Your Ride I-cv157ZIInUk.mp4
354,cheerful,/project/Data/Video_train/Guyabano Pinoy Henyo _ NESFRUTA _ Nestlé PH-EgmNEgIFBTQ.mp4
355,youthful,/project/Data/Video_train/MILO_ #CHOCOMALTEE2015 _ Nestle PH-mCVaLGPHqOI.mp4
356,active,/project/Data/Video_train/Anlene Advertisement-7N9HoLhZGsU.mp4
357,alert,/project/Data/Video_train/Zigy Television Commercial-xlb4SfKhsdM.mp4
358,amused,/project/Data/Video_train/Austin & Ally _ 'Beauties & Bullies' Sneak Peek-_Zgi2KNtWVY.mp4
359,emotional,/project/Data/Video_train/BFF -- Stairs-l7HqwAleUQg.mp4
360,amused,/project/Data/Video_train/They're real! mascara _ don't get burned by falsies!-RaFcbOBw8bI.mp4
361,amused,/project/Data/Video_train/LEGO Star Wars - The Force Awakens Video Game - Announce Teaser Trailer-i0IJqIzO_YM.mp4
362,alert,/project/Data/Video_train/Keira Knightley Domestic Violence PSA-rt7JZSrDJA8.mp4
363,cheerful,/project/Data/Video_train/PGATOUR.COM My Buddy - Jordan Spieth-psmD1DVPIrU.mp4
364,fashionable,"/project/Data/Video_train/I Love CHANEL, a Tribute to Erwin Blumenfeld by Solve Sundsbo starring Rouge Allure – CHANEL Makeup-QT8AiihKFR0.mp4"
365,amused,/project/Data/Video_train/Be a Super Son with Vodafone SuperNet™ - Video call at airport ad-vukxkPTuVNI.mp4
366,amused,/project/Data/Video_train/Burger King -  Chicken Fries Commercial-gm_n76Dsl0c.mp4
367,alarmed,/project/Data/Video_train/LUX - Save your skin-XXCvPwgx320.mp4
368,amused,"/project/Data/Video_train/A Harvey Nichols Christmas 2013 -- Sorry, I Spent It On Myself-ITyeI3YyYw8.mp4"
369,active,/project/Data/Video_train/Mission - Impossible Rogue Nation - Stunt Featurette-afS5ks54tms.mp4
370,amazed,/project/Data/Video_train/10 Cloverfield Lane Super Bowl Ad (2016) - Paramount Pictures-IhdJkFH7K38.mp4
371,alert,/project/Data/Video_train/Confessions of a Republican _ Hillary Clinton-oeYKFRV34kY.mp4
372,alert,/project/Data/Video_train/Windows 95 launch video 60s-5VPFKnBYOSI.mp4
373,conscious,/project/Data/Video_train/Quit Smoking commercial [2007]-GM2C0fiZcp8.mp4
374,amused,/project/Data/Video_train/Hulk - Burger King _ Marvel-jgC8y0ksrRg.mp4
375,creative,/project/Data/Video_train/O2 Refresh - Launch TV advert-v3nD2ySQugQ.mp4
376,active,/project/Data/Video_train/David Beckham Bodywear Underwear for H&M Commercial-vPcjTefW_Ao.mp4
377,eager,/project/Data/Video_train/COMPLAN NEW Ad 2014-3zCtPnz-Bxk.mp4
378,alert,/project/Data/Video_train/Modern Combat 5 - Launch Trailer-st7eMfykiVE.mp4
379,amused,/project/Data/Video_train/Bud Light  _  'Clothing Drive' commercial-ew9cEATPzDE.mp4
380,confident,/project/Data/Video_train/Dr. Jennifer Mulhern - Ankle pain-rCzpKNwZAYo.mp4
381,emotional,/project/Data/Video_train/Dove Real Beauty Commercial Featuring Voice of Layah Jane-gm1uNgHw6Xo.mp4
382,amused,/project/Data/Video_train/Digger the Cat & Spork on Friskies Cat Game Show - Will Kitty Play With It-6jyAEqhfHTE.mp4
383,amused,/project/Data/Video_train/We bought the wrong horse! Hilarious insurance commercial...-_uQOchrK7NA.mp4
384,eager,/project/Data/Video_train/YORK PEPPERMINT PATTIE - CLOSE UP 'VENUS'-CzcxM6u7ey0.mp4
385,amused,/project/Data/Video_train/LifeSavers Muffin Top Commercial-DyO-z_7Ip9c.mp4
386,amazed,/project/Data/Video_train/Game of War - Cats!-QKXo9r6Kb5U.mp4
387,disturbed,/project/Data/Video_train/The Blair Witch Project trailer (1999)-HZu1cTg-xUM.mp4
388,amused,/project/Data/Video_train/Pepsi Max - OFFICE INTERVIEW Ad [HQ version]-Xu25lUDJZgY.mp4
389,youthful,/project/Data/Video_train/1980s Operation Board Game Commercial-_6MAkLJ79LE.mp4
390,active,"/project/Data/Video_train/NHL 16 _ Play Together. Win Together. _ Xbox One, PS4-ckXUcAULF6Q.mp4"
391,active,/project/Data/Video_train/NBA 2K11 Signature Moves-7Ol2HYCnVbs.mp4
392,active,/project/Data/Video_train/SOLOSHOT - film yourself-ApqQW5Nx1qI.mp4
393,amused,/project/Data/Video_train/Samsung smart tv funny commercial-oLLbt0jyqDA.mp4
394,amazed,/project/Data/Video_train/Star Chasers Official Trailer-d_MreRQ7_-w.mp4
395,amused,/project/Data/Video_train/Frooti Ad 2013 - Shahrukh Khan-yVI7JelAzPc.mp4
396,active,/project/Data/Video_train/Seriously Stretchy Jeans from Aéropostale-kPiC_fTPIbc.mp4
397,inspired,/project/Data/Video_train/Nancy Pelosi and Newt Gingrich Commercial on Climate Change-qi6n_-wB154.mp4
398,alert,/project/Data/Video_train/Titan Raga #BreakTheBias-hNqwBTCslMw.mp4
399,eager,/project/Data/Video_train/Mr. T _ Snickers Helicopter and Pool Advert - Mr. T is Back!-wiixrRgysks.mp4
400,amused,/project/Data/Video_train/Crazy Squirrel - Snickers Commercial-zFubzSu2AOE.mp4
401,amazed,/project/Data/Video_train/Lucas and Marcus – That's My Jam – Thumbprint Radio-Ry1X61Vf33U.mp4
402,alarmed,/project/Data/Video_train/MWS & Brookfield Renewable Winter Safety PSA-CNoivLvheUA.mp4
403,amused,/project/Data/Video_train/Official JonTron MERCH!!-67jh16fASvI.mp4
404,sad,/project/Data/Video_train/Clips from the Documentary 'Regina's Gift'-FDwlgxqaOiU.mp4
405,active,/project/Data/Video_train/Olympics 2008 Monkey Movie - BBC Sport-Yr5ZWYRaAyw.mp4
406,fashionable,/project/Data/Video_train/PRADA SPRING_SUMMER 2013 WOMEN'S ADVERTISING CAMPAIGN-AhZo0QfFO9E.mp4
407,cheerful,/project/Data/Video_train/Coca Cola Commercial - Christmas Video #1-fDoDUC9M0Sg.mp4
408,eager,/project/Data/Video_train/1960's Burgerking  Commercial-NSvnw3tvPSk.mp4
409,amused,/project/Data/Video_train/Despicable Me - Minion Rush - The Minion Games - Update Trailer-XHSoS4p9688.mp4
410,amazed,/project/Data/Video_train/10 Cloverfield Lane - Walking Dead Ad (2016) - Paramount Pictures-PoUfNATA7R8.mp4
411,persuaded,/project/Data/Video_train/Jack in the Box Jack at Burger King 2009 Commercial-GEVMkdScUZc.mp4
412,alert,/project/Data/Video_train/Funny Thai chewing gum commercial 1_3-jutQL0DNstM.mp4
413,amazed,/project/Data/Video_train/IT’S ALL ABOUT THE PIKE IN ONTARIO-tO0L-7lkhPM.mp4
414,active,/project/Data/Video_train/NBA 2K12 Finals Commercial-vh_EwI8pjQU.mp4
415,amused,/project/Data/Video_train/Weddings by TBZ Shoes-Sw3tEcz2PK0.mp4
416,amazed,/project/Data/Video_train/So You Want To Watch Fishing Videos Karl VonDibble-Vn2ZyRUZ4-s.mp4
417,amused,/project/Data/Video_train/Dr. Pepper Commercial - I'M A PEPPER - David Naughton-gQPN3UKQM-U.mp4
418,amazed,/project/Data/Video_train/Tourism Queensland Seeks Applicants for 'The Best Job in the World' - Island Caretaker-iTUUWOV4Vns.mp4
419,amazed,/project/Data/Video_train/Pond Lehocky - Torn Apart - Fran's Neck Injury-_HS0UOQjU5w.mp4
420,persuaded,/project/Data/Video_train/Les Pockets de Dim par F.Beigbeder - Dim (2016)-HexTZbSIEII.mp4
421,afraid,/project/Data/Video_train/The Witch _ Black Phillip _ Official Promo HD _ A24-d_XTFjvvcnQ.mp4
422,alert,/project/Data/Video_train/LITERAL BATTLEFIELD 1 Official Reveal Trailer-ttw4abodSJE.mp4
423,alert,/project/Data/Video_train/Bubble Witch 2 Saga TV AD - Release the magic-_NJKQkQu3NI.mp4
424,conscious,/project/Data/Video_train/Beautiful Commercial From Thailand  Disconnect to connect  VIDEO-7ae0tzVo8Fw.mp4
425,amazed,/project/Data/Video_train/Pirate Kings game offical Android trailer (Short)-ue5tV4SDldU.mp4
426,alarmed,/project/Data/Video_train/Anti-spousal Abuse Ad from 1990s (kid on stairs)-pSe40tX-oTA.mp4
427,eager,/project/Data/Video_train/Very old Big Mac 70's commercial-en4muUSIRT4.mp4
428,cheerful,/project/Data/Video_train/King’s Hawaiian - The Perfect Awards Party-ujpmTe8PZUs.mp4
429,active,/project/Data/Video_train/Tata Nano TVC - Celebrate Awesomeness with Tata Nano-Fj7kFvk-T7g.mp4
430,amused,/project/Data/Video_train/Don LaFontaine GEICO Spot-ZJMGS7l0wT8.mp4
431,alert,/project/Data/Video_train/NFL on Xbox - Professor of Game Day Evolution-f1ZK7T5dezI.mp4
432,active,/project/Data/Video_train/Carr Nissan Presents - The Test Driver - Frontier-0ji_-OJlVbI.mp4
433,loving,/project/Data/Video_train/2015 Commercial - #RealStrength Ad _ Dove Men+Care-QoqWo3SJ73c.mp4
434,active,/project/Data/Video_train/Spy Gear Tri-Optics Video Watch-HJxkAcj9TKM.mp4
435,disturbed,/project/Data/Video_train/PSA - tobacco kills (from the truth)-Y_56BQmY_e8.mp4
436,amazed,/project/Data/Video_train/Seven Knights  - Official Promotion Trailer-_u0WOqjJTcg.mp4
437,amused,/project/Data/Video_train/SCARE PEWDIEPIE - OFFICIAL TRAILER - YOUTUBE ORIGINAL SERIES-8tEsxbCl21E.mp4
438,persuaded,/project/Data/Video_train/Ambi Pur v_s Tadka - Smelly to Smiley Video-TEsp-IYQaOk.mp4
439,conscious,/project/Data/Video_train/The Sneeze-qKiQA5e-fPg.mp4
440,active,/project/Data/Video_train/sexiest tennis commercial ever!-UTQinvFuX3M.mp4
441,youthful,/project/Data/Video_train/Batman - The Animated Series Action Figures - New Commercial!-XVLBEsG0MH4.mp4
442,amused,/project/Data/Video_train/Cadbury's Caramel 1980 ad-EjQ5Yw72xtA.mp4
443,alert,/project/Data/Video_train/Five Nights at Freddy's 4 Trailer-A-taWymx1WI.mp4
444,amazed,/project/Data/Video_train/2016 Dodge Journey Lease For $129_month-pv4WZkppmTU.mp4
445,cheerful,/project/Data/Video_train/Panda Pop! Trailer Part 2-Bqfow_TmNh4.mp4
446,proud,/project/Data/Video_train/Fighting For You _ Hillary Clinton-QfwhI5N95y8.mp4
447,active,/project/Data/Video_train/Warhawk Matt Scott in Nike 'No Excuses' Commercial-obdd31Q9PqA.mp4
448,amused,/project/Data/Video_train/The Grand Slams Trailer– The Slams Return-Q-0MP0Ql4II.mp4
449,active,/project/Data/Video_train/Introducing the Street View Trike-Hr-4Aln1Il8.mp4
450,angry,/project/Data/Video_train/Absurdly Sexist Coffee Ad (ca. 1960s)-vRYfouuHPvs.mp4
451,amazed,/project/Data/Video_train/Rugged Retail in Nevada-oirB6r0PySE.mp4
452,amused,/project/Data/Video_train/NEW Cornetto Mango Tango-c9THt-uJRTU.mp4
453,amused,/project/Data/Video_train/Snickers commercial with Joe Pesci and Don Rickles-MixNh9L7G5M.mp4
454,active,/project/Data/Video_train/It's More Fun in the Philippines _ Bohol TV Commercial _ Philippine Department of Tourism-FFsL8JBVWm4.mp4
455,amazed,/project/Data/Video_train/Adam and Clancy _ Separation Anxiety _ TBS--U3LjDN8ErI.mp4
456,youthful,/project/Data/Video_train/CARS 2 _ The Video Game Trailer _ Official Disney UK-as_SyfYC5UM.mp4
457,persuaded,/project/Data/Video_train/Drake Sprite - The Spark Commercial-mh6vHoyBs58.mp4
458,calm,/project/Data/Video_train/Heart of Connecticut-bqmzpwxDJ9s.mp4
459,inspired,/project/Data/Video_train/Keiser University TV Commercial-4YHfAIdmIXw.mp4
460,amused,/project/Data/Video_train/Hai Karate - vintage TV commercial-jtwh3nQP5Uo.mp4
461,alert,/project/Data/Video_train/EXCLUSIVE - Watch Britney Spears' Steamy New 'Private Show' Commercial - Featuring Her New Song!-UKDWPYO0slE.mp4
462,amazed,/project/Data/Video_train/Dairy Queen Flamethrower Sandwich-QUOqFV_v5po.mp4
463,amused,/project/Data/Video_train/SpongeBob Burger King-7gMZ62PsvRM.mp4
464,cheerful,/project/Data/Video_train/116 Innovators ( -30) _ The Toyota Effect _ Toyota-z7HGLN8r84E.mp4
465,active,/project/Data/Video_train/DC PROGRESSION SINCE 1994 commercial ( Figure Eight )-RErvLXHsKmg.mp4
466,amazed,/project/Data/Video_train/Peugeot Indian Car Commercial-RGQf9dn0pDk.mp4
467,alert,/project/Data/Video_train/Anti-Drug Commercial - Party all Night (Cocaine)-FHDKHKixKdY.mp4
468,alert,/project/Data/Video_train/Scary NES Commercial-eX4MdXF3OWI.mp4
469,amazed,/project/Data/Video_train/Noises Off - Post-Open TV Spot - Roundabout Theatre Company-cDkZqT9IvYE.mp4
470,alert,/project/Data/Video_train/Rob McElhenney Thinks and  Doesn't Smoke-ltqssfzVyrw.mp4
471,active,/project/Data/Video_train/David Warner's Night Test - it's the ultimate cricket challenge. Full length version-mqqFdXMySk4.mp4
472,inspired,/project/Data/Video_train/Bupa TV Advert - Cancer Survivorship Programme-LxK743gc0PI.mp4
473,amused,/project/Data/Video_train/CORONA Commercial - 2010 HD-yQxTNjQe0Xs.mp4
474,amazed,/project/Data/Video_train/Game of War - Fire Age - English Trailer-Bnb5iX9aunc.mp4
475,amazed,/project/Data/Video_train/Jollibee's Amazing 360° Music Video-Bh3b6M4g8BA.mp4
476,amused,/project/Data/Video_train/Values Matter Anthem _ Values Matter _ Whole Foods Market-5DCow4J-pDE.mp4
477,amused,/project/Data/Video_train/funny golf car commercial-0A43tb18T8Y.mp4
478,angry,/project/Data/Video_train/Get Your Tax On -  The Tax Rap-kF89VnRrWr0.mp4
479,amused,/project/Data/Video_train/STFU Commercial - Amiri King-hxW2qrzciIA.mp4
480,amused,/project/Data/Video_train/Ultimate Warrior returns as the WWE 2K14 pre-order bonus (Official)-9l2FeI5GMg0.mp4
481,active,/project/Data/Video_train/360 _ How Far _ Australia _ Expedia-VcaT_wRwmuw.mp4
482,amazed,/project/Data/Video_train/Jaleel White and Wax Museum Steve Urkel ft. the Scion iM-yX-TZe8SeYk.mp4
483,educated,/project/Data/Video_train/Honda 'Paper'-fLCEd8xk1BE.mp4
484,alarmed,/project/Data/Video_train/Wayne Pacelle and The HSUS Scam-4hN0ai9WzBQ.mp4
485,alert,/project/Data/Video_train/HEADON!  Apply directly to the forehead!-f_SwD7RveNE.mp4
486,eager,/project/Data/Video_train/'Performance Level' _ COFFEE-MATE _ Nestlé PH-b6EBK0ujV3o.mp4
487,amused,/project/Data/Video_train/Trident Layers Gum Hilarious Commercial 'Pay me in Gum'-tviPLpD8VG8.mp4
488,active,/project/Data/Video_train/Selena Gomez - Congradulations to Me (MTV EMA 2011 Promo Commercial)-Zpk2uauRdA8.mp4
489,amused,/project/Data/Video_train/Systembolagets film 'Experten 2015'-L4t-fCKQCP4.mp4
490,active,/project/Data/Video_train/Eva Herzigova  Shoe Commercial-XLpQDBP20X0.mp4
491,alarmed,/project/Data/Video_train/Vote for a Proven Leader l TX House Speaker Joe Straus-kI-e19z0Og8.mp4
492,amused,/project/Data/Video_train/funny pepsi commercial-31pEZWaIhr0.mp4
493,amazed,/project/Data/Video_train/No Man’s Sky - EXPLORE Trailer _ PS4-7AVmI73va4g.mp4
494,eager,/project/Data/Video_train/I'm lovin' it-dI-xHMM8wXE.mp4
495,amused,/project/Data/Video_train/Joe's Sticky Stuff Double-sided tape-y9LajlJjd4E.mp4
496,cheerful,/project/Data/Video_train/Doritos 2016 Super Bowl Commercial-kZnBpmZXBms.mp4
497,cheerful,/project/Data/Video_train/Why use iPage-zrIe6n-ZK_E.mp4
498,alert,/project/Data/Video_train/Jacobs Krönung - Brings People Closer-2qS1ZSqwIgM.mp4
499,feminine,/project/Data/Video_train/Evolution of the Bikini with Amanda Cerny _ Breathless Resorts & Spas-lYKgRdBJ-vw.mp4
500,calm,/project/Data/Video_train/The people and places of Molokai-5UzfYJ-mkzc.mp4
501,alert,/project/Data/Video_train/'Daisy Girl' Rare 1964 Lyndon Johnson Political Ad -aired only once- 9_7_64-9Id_r6pNsus.mp4
502,amused,/project/Data/Video_train/From the Makers of Happy & Merry H&M presents Katy Perry-E71sKFD-spQ.mp4
503,eager,/project/Data/Video_train/Potato Thins Commercial - Handsfree 15s-BemkXyTc81w.mp4
504,amazed,/project/Data/Video_train/Introducing the TP-LINK Archer C3200 AC3200 Tri-Band Wireless Gigabit Wi-Fi Router-meW77mdWU7g.mp4
505,amused,/project/Data/Video_train/Commercial Doritos Mermaid - 'Noodling'-q8MLuni8rzc.mp4
506,amazed,/project/Data/Video_train/Colorado Tourism Commercial - Once--1yXdOufzKE.mp4
507,eager,/project/Data/Video_train/Cadbury Celebrations - Diwali TVC - 50 sec-QKt7A_wsq_8.mp4
508,amused,/project/Data/Video_train/FIFA 15 - Christmas Commercial - Messi vs Hazard-Bw1Iwzst2bc.mp4
509,amused,"/project/Data/Video_train/DC Shoes 'The Chase' Commercial, featuring Rob Dyrdek-Hi2RE2Em6Cw.mp4"
510,fashionable,/project/Data/Video_train/levi's 501 laundry-u06rDf-kUt0.mp4
511,calm,/project/Data/Video_train/Lanai's Natural Splendor-KKNUrASDloE.mp4
512,amused,/project/Data/Video_train/Hulk - Burger King _ Marvel - Ragnarok-8FYJKrHNeqI.mp4
513,amused,/project/Data/Video_train/Armani Campaign - Housekeeping  ft Cristiano Ronaldo-c0BCoeOf-Ys.mp4
514,educated,/project/Data/Video_train/Cingular Commercial - 'bff Jill'-4nIUcRJX9-o.mp4
515,youthful,/project/Data/Video_train/Shopkins Scoops Ice-cream Truck Official TV Commercial-6PKAv5OPf40.mp4
